   3m    6m   yr   mon day
  2.82  3.07 1958. 12. 12.
  2.82  3.04 1958. 12. 19.
  2.71  2.97 1958. 12. 26.
  2.67  2.92 1959.  1.  2.
  2.72  2.98 1959.  1.  9.
  2.86  3.05 1959.  1. 16.
  2.97  3.23 1959.  1. 23.
  2.77  3.14 1959.  1. 30.
  2.70  3.12 1959.  2.  6.
  2.72  3.20 1959.  2. 13.
  2.63  3.07 1959.  2. 20.
  2.76  3.13 1959.  2. 27.
  2.84  3.14 1959.  3.  6.
  2.85  3.15 1959.  3. 13.
  2.77  3.09 1959.  3. 20.
  2.76  3.11 1959.  3. 27.
  2.84  3.20 1959.  4.  3.
  2.96  3.25 1959.  4. 10.
  3.09  3.36 1959.  4. 17.
  2.98  3.33 1959.  4. 24.
  2.81  3.17 1959.  5.  1.
  2.83  3.29 1959.  5.  8.
  2.76  3.35 1959.  5. 15.
  2.85  3.32 1959.  5. 22.
  2.92  3.36 1959.  5. 29.
  3.15  3.47 1959.  6.  5.
  3.27  3.51 1959.  6. 12.
  3.24  3.47 1959.  6. 19.
  3.22  3.59 1959.  6. 26.
  3.16  3.68 1959.  7.  3.
  3.28  3.89 1959.  7. 10.
  3.37  3.90 1959.  7. 17.
  3.15  3.81 1959.  7. 24.
  3.01  3.76 1959.  7. 31.
  3.00  3.68 1959.  8.  7.
  3.17  3.66 1959.  8. 14.
  3.50  3.84 1959.  8. 21.
  3.73  4.18 1959.  8. 28.
  3.95  4.48 1959.  9.  4.
  4.02  4.55 1959.  9. 11.
  4.13  4.82 1959.  9. 18.
  3.98  4.77 1959.  9. 25.
  4.10  4.80 1959. 10.  2.
  4.02  4.59 1959. 10.  9.
  4.24  4.65 1959. 10. 16.
  3.99  4.45 1959. 10. 23.
  4.00  4.37 1959. 10. 30.
  4.03  4.42 1959. 11.  6.
  4.04  4.50 1959. 11. 13.
  4.20  4.57 1959. 11. 20.
  4.25  4.62 1959. 11. 27.
  4.50  4.86 1959. 12.  4.
  4.48  4.81 1959. 12. 11.
  4.49  4.77 1959. 12. 18.
  4.58  4.90 1959. 12. 25.
  4.40  4.91 1960.  1.  1.
  4.59  5.07 1960.  1.  8.
  4.53  4.81 1960.  1. 15.
  4.27  4.60 1960.  1. 22.
  4.01  4.49 1960.  1. 29.
  3.94  4.42 1960.  2.  5.
  3.67  4.08 1960.  2. 12.
  4.04  4.30 1960.  2. 19.
  4.14  4.34 1960.  2. 26.
  3.92  4.27 1960.  3.  4.
  3.60  3.87 1960.  3. 11.
  3.41  3.57 1960.  3. 18.
  2.84  3.17 1960.  3. 25.
  2.88  3.21 1960.  4.  1.
  2.96  3.18 1960.  4.  8.
  3.56  3.86 1960.  4. 15.
  3.34  3.73 1960.  4. 22.
  3.19  3.58 1960.  4. 29.
  3.08  3.41 1960.  5.  6.
  3.32  3.55 1960.  5. 13.
  3.50  3.77 1960.  5. 20.
  3.29  3.64 1960.  5. 27.
  2.94  3.18 1960.  6.  3.
  2.61  2.80 1960.  6. 10.
  2.31  2.52 1960.  6. 17.
  2.39  2.76 1960.  6. 24.
  2.18  2.64 1960.  7.  1.
  2.27  2.85 1960.  7.  8.
  2.41  2.87 1960.  7. 15.
  2.31  2.62 1960.  7. 22.
  2.24  2.56 1960.  7. 29.
  2.13  2.39 1960.  8.  5.
  2.18  2.48 1960.  8. 12.
  2.31  2.66 1960.  8. 19.
  2.43  2.70 1960.  8. 26.
  2.53  2.82 1960.  9.  2.
  2.56  2.83 1960.  9.  9.
  2.58  2.87 1960.  9. 16.
  2.43  2.80 1960.  9. 23.
  2.35  2.82 1960.  9. 30.
  2.41  2.88 1960. 10.  7.
  2.55  2.88 1960. 10. 14.
  2.23  2.71 1960. 10. 21.
  2.11  2.53 1960. 10. 28.
  2.20  2.50 1960. 11.  4.
  2.40  2.59 1960. 11. 11.
  2.46  2.75 1960. 11. 18.
  2.38  2.71 1960. 11. 25.
  2.35  2.70 1960. 12.  2.
  2.28  2.62 1960. 12.  9.
  2.25  2.50 1960. 12. 16.
  2.24  2.42 1960. 12. 23.
  2.19  2.38 1960. 12. 30.
  2.28  2.49 1961.  1.  6.
  2.28  2.51 1961.  1. 13.
  2.25  2.46 1961.  1. 20.
  2.17  2.42 1961.  1. 27.
  2.29  2.49 1961.  2.  3.
  2.35  2.55 1961.  2. 10.
  2.41  2.59 1961.  2. 17.
  2.51  2.68 1961.  2. 24.
  2.56  2.75 1961.  3.  3.
  2.44  2.56 1961.  3. 10.
  2.35  2.47 1961.  3. 17.
  2.28  2.45 1961.  3. 24.
  2.38  2.54 1961.  3. 31.
  2.36  2.58 1961.  4.  7.
  2.31  2.52 1961.  4. 14.
  2.25  2.41 1961.  4. 21.
  2.23  2.35 1961.  4. 28.
  2.22  2.38 1961.  5.  5.
  2.23  2.40 1961.  5. 12.
  2.29  2.43 1961.  5. 19.
  2.39  2.53 1961.  5. 26.
  2.39  2.60 1961.  6.  2.
  2.40  2.64 1961.  6.  9.
  2.32  2.50 1961.  6. 16.
  2.31  2.50 1961.  6. 23.
  2.27  2.45 1961.  6. 30.
  2.31  2.49 1961.  7.  7.
  2.25  2.46 1961.  7. 14.
  2.19  2.39 1961.  7. 21.
  2.22  2.46 1961.  7. 28.
  2.28  2.51 1961.  8.  4.
  2.38  2.64 1961.  8. 11.
  2.50  2.78 1961.  8. 18.
  2.43  2.71 1961.  8. 25.
  2.34  2.65 1961.  9.  1.
  2.32  2.67 1961.  9.  8.
  2.29  2.68 1961.  9. 15.
  2.26  2.69 1961.  9. 22.
  2.25  2.69 1961.  9. 29.
  2.28  2.64 1961. 10.  6.
  2.35  2.67 1961. 10. 13.
  2.29  2.68 1961. 10. 20.
  2.29  2.67 1961. 10. 27.
  2.28  2.58 1961. 11.  3.
  2.40  2.61 1961. 11. 10.
  2.53  2.74 1961. 11. 17.
  2.54  2.73 1961. 11. 24.
  2.56  2.78 1961. 12.  1.
  2.58  2.88 1961. 12.  8.
  2.59  2.89 1961. 12. 15.
  2.61  2.86 1961. 12. 22.
  2.66  2.90 1961. 12. 29.
  2.72  2.97 1962.  1.  5.
  2.78  3.02 1962.  1. 12.
  2.73  2.90 1962.  1. 19.
  2.67  2.89 1962.  1. 26.
  2.69  2.92 1962.  2.  2.
  2.70  2.92 1962.  2.  9.
  2.81  3.00 1962.  2. 16.
  2.74  2.93 1962.  2. 23.
  2.69  2.87 1962.  3.  2.
  2.74  2.88 1962.  3.  9.
  2.74  2.91 1962.  3. 16.
  2.70  2.84 1962.  3. 23.
  2.73  2.86 1962.  3. 30.
  2.72  2.82 1962.  4.  6.
  2.74  2.84 1962.  4. 13.
  2.72  2.82 1962.  4. 20.
  2.73  2.83 1962.  4. 27.
  2.74  2.83 1962.  5.  4.
  2.67  2.77 1962.  5. 11.
  2.67  2.77 1962.  5. 18.
  2.69  2.77 1962.  5. 25.
  2.68  2.76 1962.  6.  1.
  2.65  2.74 1962.  6.  8.
  2.69  2.76 1962.  6. 15.
  2.73  2.80 1962.  6. 22.
  2.84  2.90 1962.  6. 29.
  2.92  3.00 1962.  7.  6.
  2.97  3.09 1962.  7. 13.
  2.95  3.13 1962.  7. 20.
  2.88  3.09 1962.  7. 27.
  2.85  3.03 1962.  8.  3.
  2.83  3.03 1962.  8. 10.
  2.84  3.00 1962.  8. 17.
  2.82  2.96 1962.  8. 24.
  2.80  2.93 1962.  8. 31.
  2.82  2.95 1962.  9.  7.
  2.78  2.93 1962.  9. 14.
  2.77  2.93 1962.  9. 21.
  2.75  2.90 1962.  9. 28.
  2.75  2.89 1962. 10.  5.
  2.76  2.86 1962. 10. 12.
  2.74  2.84 1962. 10. 19.
  2.74  2.83 1962. 10. 26.
  2.74  2.82 1962. 11.  2.
  2.82  2.87 1962. 11.  9.
  2.83  2.86 1962. 11. 16.
  2.84  2.90 1962. 11. 23.
  2.86  2.94 1962. 11. 30.
  2.85  2.91 1962. 12.  7.
  2.84  2.88 1962. 12. 14.
  2.88  2.90 1962. 12. 21.
  2.89  2.93 1962. 12. 28.
  2.89  2.94 1963.  1.  4.
  2.90  2.95 1963.  1. 11.
  2.90  2.95 1963.  1. 18.
  2.93  2.99 1963.  1. 25.
  2.93  2.99 1963.  2.  1.
  2.95  3.00 1963.  2.  8.
  2.93  2.99 1963.  2. 15.
  2.90  2.96 1963.  2. 22.
  2.90  2.94 1963.  3.  1.
  2.89  2.93 1963.  3.  8.
  2.88  2.94 1963.  3. 15.
  2.90  2.96 1963.  3. 22.
  2.91  2.98 1963.  3. 29.
  2.91  2.98 1963.  4.  5.
  2.90  2.98 1963.  4. 12.
  2.90  3.00 1963.  4. 19.
  2.89  2.98 1963.  4. 26.
  2.90  2.99 1963.  5.  3.
  2.91  2.99 1963.  5. 10.
  2.90  2.99 1963.  5. 17.
  2.94  3.02 1963.  5. 24.
  2.98  3.06 1963.  5. 31.
  3.00  3.08 1963.  6.  7.
  2.98  3.07 1963.  6. 14.
  2.98  3.08 1963.  6. 21.
  2.99  3.07 1963.  6. 28.
  3.03  3.12 1963.  7.  5.
  3.22  3.34 1963.  7. 12.
  3.19  3.36 1963.  7. 19.
  3.19  3.36 1963.  7. 26.
  3.24  3.38 1963.  8.  2.
  3.26  3.39 1963.  8.  9.
  3.32  3.43 1963.  8. 16.
  3.36  3.47 1963.  8. 23.
  3.39  3.49 1963.  8. 30.
  3.36  3.47 1963.  9.  6.
  3.36  3.48 1963.  9. 13.
  3.41  3.51 1963.  9. 20.
  3.38  3.51 1963.  9. 27.
  3.41  3.53 1963. 10.  4.
  3.45  3.56 1963. 10. 11.
  3.47  3.59 1963. 10. 18.
  3.44  3.60 1963. 10. 25.
  3.47  3.59 1963. 11.  1.
  3.54  3.65 1963. 11.  8.
  3.55  3.68 1963. 11. 15.
  3.51  3.65 1963. 11. 22.
  3.48  3.63 1963. 11. 29.
  3.52  3.68 1963. 12.  6.
  3.50  3.66 1963. 12. 13.
  3.53  3.67 1963. 12. 20.
  3.52  3.65 1963. 12. 27.
  3.52  3.65 1964.  1.  3.
  3.53  3.66 1964.  1. 10.
  3.54  3.65 1964.  1. 17.
  3.52  3.63 1964.  1. 24.
